ID da Compra,ID do Cliente,ID do Produto,Data da Compra,Valor da Compra
62,Cliente-403,Produto-61,2023-10-20,479.33
63,Cliente-437,Produto-91,2023-5-21,483.54
64,Cliente-126,Produto-36,2023-5-4,127.01
65,Cliente-114,Produto-65,2023-9-4,40.48
66,Cliente-455,Produto-28,2023-6-18,397.73
67,Cliente-456,Produto-65,2023-9-13,33.78
68,Cliente-144,Produto-85,2023-2-6,412.95
69,Cliente-58,Produto-98,2023-9-1,94.59
70,Cliente-56,Produto-61,2023-9-25,278.91
71,Cliente-444,Produto-73,2023-12-16,280.58
72,Cliente-247,Produto-46,2023-5-5,225.76
73,Cliente-47,Produto-93,2023-1-5,251.87
74,Cliente-319,Produto-48,2023-5-27,356.84
75,Cliente-162,Produto-87,2023-5-3,133.32
76,Cliente-296,Produto-5,2023-8-18,213.39
77,Cliente-442,Produto-58,2023-8-13,321.96
78,Cliente-374,Produto-29,2023-8-21,412.83
79,Cliente-112,Produto-11,2023-9-19,205.78
80,Cliente-389,Produto-16,2023-2-25,301.34
81,Cliente-6,Produto-89,2023-7-4,499.14
82,Cliente-81,Produto-96,2023-12-7,321.6
83,Cliente-104,Produto-21,2023-12-25,473.53
84,Cliente-5,Produto-91,2023-9-9,182.49
85,Cliente-421,Produto-4,2023-1-27,460.95
86,Cliente-182,Produto-52,2023-2-10,160.55
87,Cliente-192,Produto-45,2023-4-16,93.15
88,Cliente-96,Produto-81,2023-5-25,227.42
89,Cliente-492,Produto-22,2023-10-28,28.46
90,Cliente-289,Produto-39,2023-7-27,17.66
91,Cliente-201,Produto-31,2023-1-28,216.98
92,Cliente-439,Produto-2,2023-6-10,250.48
93,Cliente-9,Produto-1,2023-9-2,78.8
94,Cliente-170,Produto-82,2023-3-23,219.64
95,Cliente-323,Produto-76,2023-9-18,479.05
96,Cliente-312,Produto-92,2023-8-17,310.36
97,Cliente-348,Produto-75,2023-9-1,99.19
98,Cliente-196,Produto-79,2023-11-20,460.43
99,Cliente-46,Produto-16,2023-9-24,461.81
100,Cliente-97,Produto-26,2023-1-2,367.29
101,Cliente-428,Produto-93,2023-3-11,394.01
102,Cliente-221,Produto-31,2023-1-27,186.79
103,Cliente-231,Produto-62,2023-6-28,132.54
104,Cliente-45,Produto-24,2023-7-20,183.91
105,Cliente-288,Produto-37,2023-3-19,226.46
106,Cliente-162,Produto-37,2023-4-4,46.85
107,Cliente-277,Produto-58,2023-3-19,78.13
108,Cliente-106,Produto-10,2023-9-9,157.26
109,Cliente-19,Produto-49,2023-12-18,64.67
110,Cliente-263,Produto-83,2023-5-11,320.13
111,Cliente-331,Produto-35,2023-7-12,317.02
112,Cliente-443,Produto-88,2023-6-2,150.16
113,Cliente-49,Produto-23,2023-7-1,448.12
114,Cliente-423,Produto-57,2023-6-8,83.05
115,Cliente-11,Produto-38,2023-7-15,128.22
116,Cliente-203,Produto-19,2023-8-25,94.77
117,Cliente-99,Produto-57,2023-9-21,219.44
118,Cliente-432,Produto-65,2023-7-4,106.51
119,Cliente-135,Produto-45,2023-11-25,84.98
120,Cliente-452,Produto-62,2023-4-22,208.22
121,Cliente-69,Produto-65,2023-4-22,451.2
122,Cliente-49,Produto-82,2023-1-17,338.71
123,Cliente-194,Produto-4,2023-8-19,423.15
124,Cliente-146,Produto-89,2023-6-16,326.08
125,Cliente-221,Produto-44,2023-3-25,229.16
126,Cliente-185,Produto-40,2023-9-9,176.87
127,Cliente-482,Produto-32,2023-1-24,344.02
128,Cliente-171,Produto-87,2023-11-11,63.27
129,Cliente-415,Produto-57,2023-1-7,91.61
130,Cliente-349,Produto-23,2023-6-15,65.25
131,Cliente-49,Produto-60,2023-9-10,334.7
132,Cliente-438,Produto-13,2023-1-23,298.02
133,Cliente-416,Produto-89,2023-1-7,83.09
134,Cliente-414,Produto-1,2023-9-25,433.28
135,Cliente-396,Produto-85,2023-7-14,301.26
136,Cliente-438,Produto-91,2023-3-12,218.38
137,Cliente-193,Produto-32,2023-6-16,137.64
138,Cliente-196,Produto-61,2023-1-1,347.43
139,Cliente-194,Produto-97,2023-12-9,423.83
140,Cliente-455,Produto-58,2023-11-5,210.83
141,Cliente-248,Produto-77,2023-12-8,383.55
142,Cliente-108,Produto-13,2023-6-16,430.15
143,Cliente-146,Produto-63,2023-12-16,385.27
144,Cliente-386,Produto-39,2023-10-22,18.37
145,Cliente-249,Produto-56,2023-11-27,102.69
146,Cliente-464,Produto-55,2023-9-28,181.22
147,Cliente-184,Produto-90,2023-7-19,206.96
148,Cliente-214,Produto-55,2023-9-26,388.62
149,Cliente-300,Produto-16,2023-1-28,201.64
150,Cliente-164,Produto-86,2023-11-13,433.22
151,Cliente-312,Produto-39,2023-1-15,239.93
152,Cliente-377,Produto-10,2023-12-8,419.3
153,Cliente-175,Produto-65,2023-8-26,25.1
154,Cliente-153,Produto-11,2023-11-3,339.78
155,Cliente-327,Produto-76,2023-6-20,465.29
156,Cliente-393,Produto-53,2023-7-26,71.13
157,Cliente-89,Produto-37,2023-10-4,421.69
158,Cliente-66,Produto-22,2023-1-27,107.15
159,Cliente-369,Produto-37,2023-9-14,482.17
160,Cliente-298,Produto-22,2023-6-19,475.81
161,Cliente-153,Produto-99,2023-5-28,453.3
162,Cliente-326,Produto-61,2023-6-3,108.14
163,Cliente-179,Produto-66,2023-5-5,361.01
164,Cliente-85,Produto-38,2023-3-9,99.4
165,Cliente-147,Produto-4,2023-4-23,270.43
166,Cliente-346,Produto-67,2023-7-20,380.04
167,Cliente-2,Produto-66,2023-9-14,112.89
168,Cliente-487,Produto-68,2023-4-7,105.89
169,Cliente-115,Produto-7,2023-11-9,179.22
170,Cliente-148,Produto-32,2023-10-9,203.62
171,Cliente-304,Produto-3,2023-7-15,487.75
172,Cliente-418,Produto-10,2023-6-2,289.72
173,Cliente-154,Produto-95,2023-1-26,450.72
174,Cliente-21,Produto-84,2023-11-22,221.63
175,Cliente-317,Produto-29,2023-5-10,383.41
176,Cliente-29,Produto-21,2023-12-2,75.94
177,Cliente-420,Produto-2,2023-12-28,327.94
178,Cliente-60,Produto-18,2023-7-5,257.42
179,Cliente-442,Produto-20,2023-9-10,440.9
180,Cliente-84,Produto-8,2023-2-26,405.85
181,Cliente-271,Produto-59,2023-7-6,344.37
182,Cliente-240,Produto-56,2023-7-17,387.41
183,Cliente-54,Produto-40,2023-9-7,25.21
184,Cliente-361,Produto-12,2023-3-28,166.61
185,Cliente-81,Produto-6,2023-12-25,315.36
186,Cliente-257,Produto-90,2023-8-22,10.47
187,Cliente-352,Produto-75,2023-6-1,178.79
188,Cliente-328,Produto-17,2023-8-21,273.38
189,Cliente-76,Produto-30,2023-7-27,53.63
190,Cliente-383,Produto-97,2023-10-9,482.79
191,Cliente-476,Produto-9,2023-2-28,494.26
192,Cliente-234,Produto-47,2023-1-25,181.59
193,Cliente-226,Produto-8,2023-3-21,487.34
194,Cliente-71,Produto-36,2023-1-21,324.09
195,Cliente-304,Produto-98,2023-9-21,400.25
196,Cliente-385,Produto-15,2023-8-13,362.15
197,Cliente-222,Produto-5,2023-7-3,110.2
198,Cliente-149,Produto-11,2023-3-9,268.0
199,Cliente-213,Produto-30,2023-9-15,238.03
200,Cliente-297,Produto-29,2023-9-27,58.82
201,Cliente-370,Produto-41,2023-11-5,146.03
202,Cliente-227,Produto-76,2023-4-16,34.87
203,Cliente-241,Produto-19,2023-8-20,233.73
204,Cliente-255,Produto-14,2023-4-16,323.87
205,Cliente-454,Produto-96,2023-7-12,430.88
206,Cliente-162,Produto-42,2023-5-26,374.16
207,Cliente-489,Produto-58,2023-12-4,300.85
208,Cliente-450,Produto-79,2023-1-10,70.77
209,Cliente-315,Produto-28,2023-2-1,159.92
210,Cliente-475,Produto-92,2023-7-17,102.21
211,Cliente-160,Produto-19,2023-11-17,420.79
212,Cliente-16,Produto-91,2023-12-13,421.0
213,Cliente-157,Produto-68,2023-1-13,181.84
214,Cliente-162,Produto-35,2023-7-8,59.9
215,Cliente-115,Produto-24,2023-11-11,363.6
216,Cliente-133,Produto-1,2023-2-13,333.54
217,Cliente-291,Produto-84,2023-2-15,137.03
218,Cliente-364,Produto-42,2023-5-4,185.63
219,Cliente-225,Produto-72,2023-12-23,130.29
220,Cliente-289,Produto-11,2023-1-26,50.75
221,Cliente-398,Produto-87,2023-6-14,46.67
222,Cliente-282,Produto-86,2023-8-3,327.5
223,Cliente-460,Produto-7,2023-11-13,486.97
224,Cliente-74,Produto-49,2023-12-26,439.71
225,Cliente-241,Produto-32,2023-1-3,73.64
226,Cliente-202,Produto-46,2023-9-21,152.76
227,Cliente-36,Produto-53,2023-2-8,310.8
228,Cliente-470,Produto-66,2023-4-5,333.53
229,Cliente-247,Produto-17,2023-3-11,290.02
230,Cliente-454,Produto-78,2023-7-16,468.01
231,Cliente-31,Produto-43,2023-5-10,327.46
232,Cliente-97,Produto-26,2023-6-19,279.03
233,Cliente-224,Produto-33,2023-7-20,95.26
234,Cliente-82,Produto-27,2023-3-25,188.82
235,Cliente-422,Produto-57,2023-11-14,157.57
236,Cliente-67,Produto-36,2023-2-3,459.54
237,Cliente-348,Produto-23,2023-1-26,12.22
238,Cliente-422,Produto-4,2023-6-25,143.23
239,Cliente-152,Produto-56,2023-7-6,227.2
240,Cliente-142,Produto-44,2023-6-27,483.26
241,Cliente-247,Produto-46,2023-10-9,229.49
242,Cliente-377,Produto-96,2023-11-20,197.28
243,Cliente-432,Produto-84,2023-10-24,489.22
244,Cliente-233,Produto-93,2023-11-8,22.4
245,Cliente-80,Produto-36,2023-3-13,100.71
246,Cliente-423,Produto-46,2023-11-4,105.52
247,Cliente-118,Produto-92,2023-11-25,358.58
248,Cliente-285,Produto-94,2023-11-13,457.91
249,Cliente-276,Produto-84,2023-5-19,399.9
250,Cliente-41,Produto-22,2023-12-10,118.05
251,Cliente-338,Produto-84,2023-12-15,404.11
252,Cliente-362,Produto-72,2023-10-22,262.12
253,Cliente-241,Produto-78,2023-6-25,315.81
254,Cliente-487,Produto-11,2023-7-28,105.63
255,Cliente-395,Produto-30,2023-2-18,124.44
256,Cliente-159,Produto-13,2023-8-2,167.78
257,Cliente-69,Produto-70,2023-2-7,132.44
258,Cliente-426,Produto-75,2023-6-8,384.65
259,Cliente-264,Produto-59,2023-4-24,245.5
260,Cliente-495,Produto-47,2023-3-3,196.46
261,Cliente-166,Produto-29,2023-10-14,181.95
262,Cliente-467,Produto-68,2023-6-2,305.09
263,Cliente-189,Produto-57,2023-5-25,368.25
264,Cliente-490,Produto-96,2023-11-22,146.31
265,Cliente-390,Produto-98,2023-11-23,329.37
266,Cliente-443,Produto-10,2023-8-3,103.5
267,Cliente-253,Produto-32,2023-2-15,117.47
268,Cliente-7,Produto-43,2023-12-13,238.71
269,Cliente-102,Produto-44,2023-2-21,420.36
270,Cliente-458,Produto-69,2023-5-23,112.72
271,Cliente-488,Produto-62,2023-7-27,493.19
272,Cliente-358,Produto-10,2023-4-2,197.49
273,Cliente-69,Produto-48,2023-6-16,200.22
274,Cliente-390,Produto-24,2023-2-6,49.13
275,Cliente-239,Produto-47,2023-10-11,309.91
276,Cliente-135,Produto-4,2023-12-17,469.26
277,Cliente-222,Produto-79,2023-3-6,110.54
278,Cliente-380,Produto-77,2023-7-3,184.09
279,Cliente-232,Produto-67,2023-3-24,138.08
280,Cliente-232,Produto-81,2023-9-14,93.38
281,Cliente-288,Produto-34,2023-1-25,313.67
282,Cliente-483,Produto-68,2023-5-27,134.41
283,Cliente-447,Produto-36,2023-3-25,171.24
284,Cliente-433,Produto-51,2023-11-15,166.22
285,Cliente-6,Produto-86,2023-4-7,215.79
286,Cliente-142,Produto-72,2023-3-15,169.64
287,Cliente-474,Produto-84,2023-6-18,62.1
288,Cliente-421,Produto-72,2023-3-15,351.61
289,Cliente-364,Produto-33,2023-8-8,288.53
290,Cliente-65,Produto-44,2023-7-24,302.36
291,Cliente-247,Produto-65,2023-4-18,26.55
292,Cliente-210,Produto-57,2023-11-18,239.34
293,Cliente-16,Produto-10,2023-7-2,286.24
294,Cliente-112,Produto-46,2023-6-18,129.68
295,Cliente-455,Produto-55,2023-10-3,241.92
296,Cliente-187,Produto-97,2023-5-15,341.59
297,Cliente-444,Produto-100,2023-6-22,222.48
298,Cliente-317,Produto-77,2023-9-3,103.29
299,Cliente-270,Produto-79,2023-8-15,317.93
300,Cliente-171,Produto-29,2023-11-6,243.4
301,Cliente-383,Produto-92,2023-9-5,321.71
302,Cliente-200,Produto-74,2023-4-19,478.13
303,Cliente-485,Produto-98,2023-12-4,212.55
304,Cliente-27,Produto-14,2023-5-8,420.1
305,Cliente-95,Produto-40,2023-10-15,106.57
306,Cliente-316,Produto-74,2023-3-18,322.86
307,Cliente-227,Produto-33,2023-11-5,462.08
308,Cliente-119,Produto-3,2023-4-5,476.87
309,Cliente-438,Produto-75,2023-11-4,75.87
310,Cliente-76,Produto-85,2023-2-28,132.66
311,Cliente-456,Produto-13,2023-7-12,60.64
312,Cliente-360,Produto-78,2023-4-21,201.44
313,Cliente-163,Produto-34,2023-1-20,18.57
314,Cliente-89,Produto-35,2023-8-14,321.19
315,Cliente-93,Produto-83,2023-9-25,132.38
316,Cliente-446,Produto-58,2023-5-6,149.3
317,Cliente-57,Produto-15,2023-8-23,23.98
318,Cliente-486,Produto-54,2023-10-8,305.16
319,Cliente-63,Produto-40,2023-12-4,77.3
320,Cliente-242,Produto-3,2023-10-16,118.32
321,Cliente-72,Produto-68,2023-7-26,495.41
322,Cliente-281,Produto-52,2023-6-9,161.58
323,Cliente-464,Produto-42,2023-5-12,488.11
324,Cliente-443,Produto-22,2023-8-9,245.75
325,Cliente-184,Produto-33,2023-5-25,181.45
326,Cliente-200,Produto-85,2023-8-17,315.18
327,Cliente-366,Produto-4,2023-9-25,260.65
328,Cliente-174,Produto-92,2023-11-3,346.86
329,Cliente-72,Produto-34,2023-7-5,210.19
330,Cliente-496,Produto-2,2023-6-25,102.85
331,Cliente-491,Produto-93,2023-5-19,397.88
332,Cliente-283,Produto-46,2023-7-28,150.53
333,Cliente-48,Produto-69,2023-2-18,172.96
334,Cliente-283,Produto-9,2023-4-2,388.24
335,Cliente-128,Produto-82,2023-8-1,472.5
336,Cliente-146,Produto-7,2023-10-7,484.11
337,Cliente-406,Produto-40,2023-8-24,233.77
338,Cliente-498,Produto-35,2023-9-16,84.23
339,Cliente-206,Produto-60,2023-4-2,96.07
340,Cliente-218,Produto-63,2023-8-8,124.77
341,Cliente-291,Produto-19,2023-12-8,38.82
342,Cliente-57,Produto-99,2023-7-11,411.8
343,Cliente-250,Produto-10,2023-1-16,208.44
344,Cliente-218,Produto-99,2023-9-14,64.87
345,Cliente-103,Produto-67,2023-7-13,417.48
346,Cliente-461,Produto-24,2023-8-24,317.49
347,Cliente-66,Produto-5,2023-5-13,64.07
348,Cliente-317,Produto-56,2023-12-3,218.45
349,Cliente-307,Produto-44,2023-9-16,40.2
350,Cliente-482,Produto-100,2023-2-10,478.96
351,Cliente-241,Produto-62,2023-3-27,426.22
352,Cliente-282,Produto-94,2023-8-8,201.03
353,Cliente-141,Produto-69,2023-2-4,379.5
354,Cliente-56,Produto-79,2023-12-28,279.78
355,Cliente-204,Produto-87,2023-10-21,229.51
356,Cliente-80,Produto-79,2023-12-10,445.28
357,Cliente-284,Produto-35,2023-7-13,460.28
358,Cliente-484,Produto-55,2023-7-11,327.99
359,Cliente-461,Produto-8,2023-2-10,27.86
360,Cliente-172,Produto-53,2023-7-3,70.03
361,Cliente-121,Produto-22,2023-12-3,370.6
362,Cliente-97,Produto-87,2023-5-2,409.37
363,Cliente-133,Produto-53,2023-3-12,57.72
364,Cliente-222,Produto-66,2023-2-6,365.49
365,Cliente-152,Produto-23,2023-12-8,229.3
366,Cliente-13,Produto-14,2023-6-1,299.6
367,Cliente-322,Produto-99,2023-12-27,318.24
368,Cliente-115,Produto-85,2023-2-1,411.56
369,Cliente-199,Produto-33,2023-2-7,27.28
370,Cliente-351,Produto-78,2023-5-22,182.23
371,Cliente-45,Produto-75,2023-1-22,468.77
372,Cliente-209,Produto-45,2023-2-11,308.83
373,Cliente-230,Produto-34,2023-3-5,491.71
374,Cliente-449,Produto-40,2023-8-28,212.79
375,Cliente-206,Produto-57,2023-4-11,183.37
376,Cliente-195,Produto-28,2023-6-12,239.5
377,Cliente-374,Produto-68,2023-12-5,367.25
378,Cliente-133,Produto-69,2023-4-19,89.58
379,Cliente-411,Produto-64,2023-7-7,459.23
380,Cliente-341,Produto-34,2023-9-8,377.69
381,Cliente-101,Produto-88,2023-12-13,201.24
382,Cliente-462,Produto-79,2023-12-6,88.7
383,Cliente-252,Produto-79,2023-9-18,382.96
384,Cliente-111,Produto-68,2023-1-1,223.53
385,Cliente-102,Produto-72,2023-10-1,37.06
386,Cliente-81,Produto-48,2023-9-9,354.02
387,Cliente-405,Produto-21,2023-6-14,73.12
388,Cliente-200,Produto-65,2023-12-12,479.35
389,Cliente-466,Produto-35,2023-12-23,231.91
390,Cliente-29,Produto-75,2023-11-26,78.66
391,Cliente-14,Produto-67,2023-1-2,237.45
392,Cliente-19,Produto-50,2023-10-19,40.9
393,Cliente-359,Produto-67,2023-9-20,317.37
394,Cliente-131,Produto-60,2023-6-13,477.33
395,Cliente-385,Produto-13,2023-1-9,339.15
396,Cliente-380,Produto-50,2023-1-4,11.77
397,Cliente-330,Produto-49,2023-8-28,63.27
398,Cliente-154,Produto-92,2023-4-19,359.18
399,Cliente-263,Produto-90,2023-3-12,183.44
400,Cliente-174,Produto-91,2023-1-12,278.08
401,Cliente-36,Produto-46,2023-4-14,254.04
402,Cliente-23,Produto-83,2023-6-10,380.79
403,Cliente-417,Produto-99,2023-4-15,133.71
404,Cliente-244,Produto-15,2023-5-8,312.61
405,Cliente-38,Produto-7,2023-10-24,278.01
406,Cliente-436,Produto-64,2023-1-9,345.66
407,Cliente-245,Produto-82,2023-5-5,26.53
408,Cliente-185,Produto-48,2023-7-3,357.01
409,Cliente-179,Produto-43,2023-3-7,261.39
410,Cliente-47,Produto-36,2023-12-23,406.14
411,Cliente-350,Produto-79,2023-3-20,489.9
412,Cliente-315,Produto-22,2023-5-11,472.71
413,Cliente-156,Produto-29,2023-1-12,285.01
414,Cliente-434,Produto-4,2023-9-5,404.97
415,Cliente-162,Produto-67,2023-1-2,177.59
416,Cliente-269,Produto-4,2023-9-19,44.76
417,Cliente-231,Produto-79,2023-3-25,405.34
418,Cliente-163,Produto-17,2023-11-21,91.95
419,Cliente-119,Produto-100,2023-1-10,441.84
420,Cliente-166,Produto-56,2023-1-8,20.77
421,Cliente-445,Produto-33,2023-12-14,62.15
422,Cliente-408,Produto-76,2023-7-25,418.93
423,Cliente-333,Produto-94,2023-8-14,96.15
424,Cliente-31,Produto-12,2023-4-5,280.6
425,Cliente-100,Produto-36,2023-11-4,25.75
426,Cliente-391,Produto-99,2023-4-21,465.16
427,Cliente-259,Produto-42,2023-10-28,308.37
428,Cliente-465,Produto-55,2023-9-18,325.75
429,Cliente-183,Produto-90,2023-10-8,298.45
430,Cliente-372,Produto-100,2023-6-21,427.38
431,Cliente-257,Produto-8,2023-11-3,305.1
432,Cliente-286,Produto-99,2023-4-17,332.88
433,Cliente-251,Produto-8,2023-11-18,87.35
434,Cliente-443,Produto-27,2023-11-25,30.87
435,Cliente-155,Produto-23,2023-9-7,293.79
436,Cliente-373,Produto-4,2023-12-7,60.74
437,Cliente-328,Produto-6,2023-8-10,481.29
438,Cliente-139,Produto-53,2023-6-11,186.45
439,Cliente-354,Produto-11,2023-4-28,189.54
440,Cliente-153,Produto-97,2023-6-19,13.72
441,Cliente-489,Produto-7,2023-2-18,103.1
442,Cliente-364,Produto-32,2023-4-6,348.91
443,Cliente-480,Produto-24,2023-3-27,438.41
444,Cliente-395,Produto-14,2023-1-25,423.54
445,Cliente-45,Produto-69,2023-1-8,454.52
446,Cliente-6,Produto-10,2023-5-16,39.95
447,Cliente-13,Produto-63,2023-8-12,235.19
448,Cliente-455,Produto-26,2023-10-12,341.06
449,Cliente-298,Produto-38,2023-8-4,414.45
450,Cliente-381,Produto-69,2023-8-19,34.36
451,Cliente-93,Produto-93,2023-3-1,102.75
452,Cliente-14,Produto-6,2023-2-27,184.73
453,Cliente-178,Produto-3,2023-8-23,268.08
454,Cliente-93,Produto-62,2023-6-25,135.97
455,Cliente-333,Produto-51,2023-2-6,451.09
456,Cliente-223,Produto-98,2023-7-2,330.51
457,Cliente-262,Produto-49,2023-11-24,152.66
458,Cliente-299,Produto-30,2023-4-2,262.73
459,Cliente-405,Produto-62,2023-12-3,365.6
460,Cliente-480,Produto-93,2023-11-16,37.2
461,Cliente-39,Produto-76,2023-1-5,137.98
462,Cliente-482,Produto-43,2023-3-15,284.92
463,Cliente-363,Produto-88,2023-11-13,246.65
464,Cliente-357,Produto-19,2023-2-9,277.91
465,Cliente-488,Produto-32,2023-10-18,305.36
466,Cliente-15,Produto-18,2023-5-3,333.49
467,Cliente-146,Produto-2,2023-9-8,313.42
468,Cliente-38,Produto-69,2023-10-21,70.69
469,Cliente-161,Produto-38,2023-1-18,97.74
470,Cliente-387,Produto-49,2023-5-8,133.54
471,Cliente-298,Produto-70,2023-7-2,162.5
472,Cliente-243,Produto-69,2023-3-5,306.23
473,Cliente-369,Produto-61,2023-7-22,35.27
474,Cliente-383,Produto-86,2023-12-18,438.31
475,Cliente-376,Produto-39,2023-6-27,182.13
476,Cliente-287,Produto-73,2023-6-25,302.38
477,Cliente-165,Produto-21,2023-8-27,196.39
478,Cliente-258,Produto-28,2023-7-3,301.04
479,Cliente-341,Produto-32,2023-5-25,194.55
480,Cliente-109,Produto-57,2023-5-21,370.31
481,Cliente-131,Produto-52,2023-7-8,80.7
482,Cliente-241,Produto-23,2023-10-11,143.43
483,Cliente-81,Produto-56,2023-4-22,19.55
484,Cliente-74,Produto-7,2023-6-25,206.12
485,Cliente-113,Produto-61,2023-3-14,13.98
486,Cliente-224,Produto-3,2023-12-21,145.56
487,Cliente-94,Produto-14,2023-9-2,86.47
488,Cliente-93,Produto-81,2023-11-15,238.75
489,Cliente-19,Produto-81,2023-6-28,127.92
490,Cliente-463,Produto-74,2023-1-18,370.14
491,Cliente-333,Produto-84,2023-4-24,476.78
492,Cliente-86,Produto-84,2023-8-24,454.81
493,Cliente-141,Produto-7,2023-8-9,137.9
494,Cliente-253,Produto-92,2023-4-13,461.55
495,Cliente-453,Produto-25,2023-10-11,429.51
496,Cliente-214,Produto-20,2023-4-6,145.31
497,Cliente-163,Produto-51,2023-4-7,276.91
498,Cliente-412,Produto-2,2023-12-10,277.42
499,Cliente-421,Produto-12,2023-10-28,44.38
500,Cliente-264,Produto-42,2023-9-4,425.93
501,Cliente-452,Produto-35,2023-1-20,369.29
502,Cliente-472,Produto-7,2023-1-10,275.5
503,Cliente-306,Produto-93,2023-7-19,472.43
504,Cliente-206,Produto-74,2023-7-2,256.19
505,Cliente-114,Produto-18,2023-5-11,400.06
506,Cliente-339,Produto-57,2023-1-13,240.07
507,Cliente-118,Produto-38,2023-2-16,76.93
508,Cliente-408,Produto-27,2023-4-16,257.92
509,Cliente-343,Produto-33,2023-4-7,195.39
510,Cliente-409,Produto-58,2023-1-12,212.5
511,Cliente-391,Produto-81,2023-1-20,456.44
512,Cliente-359,Produto-35,2023-2-14,80.54
513,Cliente-194,Produto-71,2023-12-22,482.64
514,Cliente-248,Produto-15,2023-6-8,399.14
515,Cliente-68,Produto-54,2023-4-1,68.43
516,Cliente-125,Produto-32,2023-4-25,413.38
517,Cliente-74,Produto-87,2023-7-7,32.37
518,Cliente-417,Produto-91,2023-8-19,99.36
519,Cliente-124,Produto-31,2023-5-3,159.25
520,Cliente-225,Produto-41,2023-3-6,142.84
521,Cliente-487,Produto-28,2023-10-16,186.13
522,Cliente-205,Produto-57,2023-8-8,28.24
523,Cliente-148,Produto-42,2023-7-17,184.57
524,Cliente-243,Produto-62,2023-4-8,223.28
525,Cliente-250,Produto-11,2023-8-4,61.26
526,Cliente-64,Produto-34,2023-12-19,40.89
527,Cliente-3,Produto-12,2023-7-10,45.79
528,Cliente-45,Produto-15,2023-10-28,117.54
529,Cliente-289,Produto-90,2023-3-8,21.41
530,Cliente-212,Produto-41,2023-9-6,61.42
531,Cliente-206,Produto-91,2023-4-3,122.43
532,Cliente-53,Produto-52,2023-7-1,400.35
533,Cliente-48,Produto-28,2023-5-20,112.43
534,Cliente-56,Produto-36,2023-5-10,342.03
535,Cliente-431,Produto-7,2023-1-13,219.08
